== L1: in-engine tests (headless godot, one boot) ==
[BUILD] HEAD is fe00a1cd, assembly was built from 68e9012018d44f4095727fda23a13776dec1f89e -- forcing a cold compile
[TEST] net.deploy_wire_power                      | PASS | 0.20s (14 checks)
[TEST] net.door_break_replicates                  | PASS | 0.19s (9 checks)
[TEST] net.door_retire_sweep                      | PASS | 0.17s (6 checks)
[TEST] net.door_roundtrip                         | PASS | 1.48s (8 checks)
[TEST] net.dropin_dropout                         | PASS | 4.42s (15 checks)
[TEST] net.held_state_survives_echo               | PASS | 1.15s (12 checks)
[TEST] net.item_state_survives_move               | PASS | 1.78s (35 checks)
[TEST] net.loopback_join_move                     | PASS | 4.05s (12 checks)
[TEST] net.populated_world_quiet                  | PASS | 12.26s (13 checks)
[TEST] net.puppet_steer_model                     | PASS | 0.03s (7 checks)
[TEST] net.reload_no_refund                       | PASS | 3.22s (10 checks)
[TEST] net.ride_freelook                          | PASS | 0.25s (6 checks)
[TEST] net.shared_container                       | PASS | 1.20s (18 checks)
[TEST] net.shell_console_teleport                 | PASS | 4.35s (11 checks)
[TEST] net.shell_consume                          | PASS | 1.07s (9 checks)
[TEST] net.shell_destructible_fire_break          | PASS | 0.02s (7 checks)
[TEST] net.shell_downhill_clientauth              | PASS | 22.80s (15 checks)
[TEST] net.shell_drive                            | PASS | 15.38s (27 checks)
[TEST] net.shell_drive_handoff                    | PASS | 14.46s (13 checks)
[TEST] net.shell_drive_predicted                  | PASS | 12.62s (16 checks)
[TEST] net.shell_drive_recov                      | PASS | 7.01s (9 checks)
[TEST] net.shell_fire_zombie                      | PASS | 3.92s (15 checks)
[TEST] net.shell_holiday_handshake                | PASS | 1.22s (7 checks)
[TEST] net.shell_move_item                        | PASS | 1.06s (10 checks)
[TEST] net.shell_open_storage                     | PASS | 1.16s (13 checks)
[TEST] net.shell_outage_recov                     | PASS | 7.84s (9 checks)
[TEST] net.shell_pickup_denied_stays              | PASS | 1.35s (13 checks)
